"geneNames","logpPred","t0LUADoverLUSC","mStop","deviance","aic"
"TMEM216",-11,0.824,59,700,1020
"AQR",-11,0.861,59,710,1030
"C9orf72",-11,0.694,65,668,1010
"DHX8",-11,0.865,65,716,1060
"TP53TG1",-11,0.724,64,882,1210
"HEBP2",-10.9,0.761,62,689,1020
"UGGT2",-10.9,1.26,65,811,1150
"NIPAL3",-10.9,1.23,67,656,1000
"ZBTB24",-10.9,0.838,56,755,1070
"LYRM2",-10.9,0.844,72,687,1040
"WRNIP1",-10.9,0.848,60,690,1020
"RHCE",-10.9,2.2,67,811,1150
"RBM3",-10.9,1.25,63,830,1160
"EXOC3L2",-10.9,1.39,72,742,1100
"SLC25A11",-10.9,0.845,72,755,1110
"SLC12A7",-10.9,1.54,71,917,1260
"ALG2",-10.9,1.16,68,789,1130
"KCNS3",-10.9,1.33,67,703,1050
"MPP6",-10.9,0.662,68,1000,1340
"OVOL2",-10.9,1.34,73,775,1130
"NDUFAF2",-10.9,1.32,55,749,1060
"HYAL2",-10.9,1.35,65,903,1230
"SMC1A",-10.9,0.814,65,730,1070
"ZNF389",-10.9,0.618,67,901,1240
"GTF2IRD2B",-10.9,1.33,63,788,1120
"ALDH5A1",-10.9,1.31,64,705,1040
"ZNF576",-10.9,0.83,69,794,1140
"OSGIN1",-10.9,0.484,71,718,1080
"NCRNA00095",-10.9,1.54,68,842,1180
"SLCO1A2",-10.9,0.359,67,1310,1640
"PTPN18",-10.9,1.3,66,1160,1490
"KIAA1715",-10.9,0.802,73,777,1130
"PAK4",-10.9,0.767,67,718,1060
"CD1A",-10.9,2.59,78,703,1080
"XK",-10.9,1.65,69,763,1110
"C4orf32",-10.9,1.37,61,751,1080
"KLF8",-10.9,0.692,71,650,1010
"FOXO3B",-10.9,0.816,68,722,1070
"PFDN1",-10.9,1.16,66,693,1040
"LOC253039",-10.9,1.26,71,736,1090
"ARNT",-10.9,1.17,59,702,1030
"CPSF2",-10.8,0.845,73,796,1150
"RPRD1B",-10.8,0.847,67,820,1160
"LOC678655",-10.8,0.774,68,734,1090
"XPR1",-10.8,1.41,70,685,1040
"ETFA",-10.8,0.81,69,823,1170
"KIAA0226",-10.8,0.836,67,643,989
"CSNK1E",-10.8,0.791,63,1050,1380
"SFRS2B",-10.8,1.17,63,789,1120
"STARD4",-10.8,0.725,68,840,1190
"PCGF2",-10.8,1.27,72,703,1060
"ZNF746",-10.8,0.806,66,685,1030
"PPAT",-10.8,0.733,69,759,1110
"POPDC3",-10.8,0.413,64,830,1160
"DLC1",-10.8,2.04,67,962,1300
"CCDC153",-10.8,1.8,65,753,1090
"ARHGEF19",-10.8,0.718,66,718,1060
"CAMTA2",-10.8,1.2,64,742,1080
"ABCA12",-10.8,0.486,65,852,1190
"USP19",-10.8,1.14,69,766,1120
"GOPC",-10.8,0.862,75,739,1110
"EPN3",-10.8,0.693,68,723,1070
"CEBPB",-10.8,1.33,71,712,1070
"PRDM1",-10.8,0.738,58,664,989
"CUEDC1",-10.8,1.27,65,731,1070
"C11orf45",-10.8,0.726,70,719,1070
"MYST1",-10.8,1.19,67,706,1050
"PYGB",-10.8,1.37,69,788,1140
"NSUN2",-10.8,0.784,70,782,1130
"AP4B1",-10.8,1.19,76,708,1080
"ARL8B",-10.8,0.853,67,711,1060
"CLP1",-10.8,0.87,67,664,1010
"VGLL4",-10.8,0.835,72,665,1030
"RAB11FIP1",-10.8,1.51,72,827,1180
"TMEM30A",-10.8,1.2,60,672,1000
"APBB1",-10.8,1.44,67,744,1090
"BAT3",-10.8,1.16,66,712,1060
"CEP250",-10.8,0.764,65,674,1020
"ZBTB46",-10.8,1.38,73,782,1140
"POLR2J3",-10.7,0.533,68,1490,1830
"SHC4",-10.7,0.485,69,699,1050
"ADPRHL1",-10.7,1.82,50,884,1170
"HAR1A",-10.7,2.42,71,1170,1520
"CSPG5",-10.7,2,71,666,1020
"C19orf54",-10.7,0.789,58,671,994
"MLYCD",-10.7,1.18,65,737,1080
"CELSR1",-10.7,0.743,78,657,1030
"CLPB",-10.7,0.784,65,815,1160
"HLA-DQA1",-10.7,1.71,66,775,1120
"PRKACA",-10.7,0.876,67,670,1020
"U2AF1",-10.7,0.853,78,729,1100
"CCDC47",-10.7,1.18,69,692,1050
"APOL1",-10.7,0.585,77,873,1240
"CNOT1",-10.7,0.86,57,698,1020
"FITM2",-10.7,1.29,70,700,1060
"PRKAB2",-10.7,0.782,75,816,1180
"WWTR1",-10.7,0.754,70,716,1070
"CARNS1",-10.7,2.23,55,1540,1830
"ABCB6",-10.7,0.643,71,794,1150
"FAM188B",-10.7,1.34,77,834,1200
"NDUFA2",-10.7,1.35,68,831,1180
"C13orf37",-10.7,0.734,69,939,1290
"SDCCAG3",-10.7,0.826,73,761,1120
"SIK1",-10.7,1.55,76,730,1100
"NDUFA5",-10.7,1.19,74,792,1160
"NADSYN1",-10.7,0.763,75,585,955
"MED15",-10.7,0.806,57,681,1000
"SHOC2",-10.7,1.15,73,709,1070
"HLTF",-10.7,0.746,63,754,1090
"ORM1",-10.7,4.64,69,1020,1360
"ZNF525",-10.7,0.777,70,670,1030
"ZNF286A",-10.7,0.751,76,968,1330
"CDC42EP4",-10.7,0.707,74,624,990
"YIF1B",-10.6,0.783,67,856,1200
"RAB8A",-10.6,0.877,69,763,1120
"TMEM120B",-10.6,1.22,62,618,958
"BUD13",-10.6,0.877,73,757,1120
"C9orf69",-10.6,0.84,61,695,1030
"GAB3",-10.6,1.42,79,777,1150
"BANK1",-10.6,1.75,62,1200,1520
"INF2",-10.6,1.29,74,760,1130
"MUC16",-10.6,2.66,63,925,1260
"SLMO1",-10.6,0.715,72,734,1090
"STIP1",-10.6,0.831,66,747,1100
"MALAT1",-10.6,1.55,74,1050,1410
"ANXA2P2",-10.6,0.766,75,816,1180
"REV1",-10.6,0.86,63,737,1070
"TMX4",-10.6,1.36,67,995,1340
"CYP2J2",-10.6,1.54,74,888,1240
"SPRED2",-10.6,1.22,67,723,1070
"C17orf51",-10.6,0.767,65,660,1010
"VAT1",-10.6,1.27,77,774,1140
"MUTYH",-10.6,0.795,70,743,1100
"C12orf5",-10.6,0.831,65,731,1070
"AGAP5",-10.6,1.33,72,666,1030
"ZNF146",-10.6,0.795,69,734,1090
"ERI1",-10.6,1.22,59,680,1010
"SYNJ2BP",-10.6,1.17,69,737,1090
"SFTPD",-10.6,2.27,70,834,1190
"TTTY15",-10.6,0.492,65,665,1010
"BEX2",-10.6,0.643,71,744,1100
"SLC45A3",-10.6,1.46,62,801,1140
"KRBA2",-10.6,1.27,62,710,1050
"CYBB",-10.6,1.57,81,783,1160
"TNFAIP8L2",-10.6,1.46,64,756,1100
"TANK",-10.5,1.19,65,752,1090
"KRT4",-10.5,0.149,75,818,1180
"LTC4S",-10.5,1.69,68,781,1130
"PRIC285",-10.5,1.35,68,770,1120
"TRIB2",-10.5,0.697,72,1110,1460
"KIRREL",-10.5,0.7,64,698,1040
"POT1",-10.5,0.798,77,829,1200
"PAQR3",-10.5,0.725,73,898,1260
"PPIH",-10.5,0.777,67,819,1170
"MX2",-10.5,1.49,70,848,1200
"SCML2",-10.5,0.416,73,1490,1840
"UPF1",-10.5,0.828,66,784,1130
"PURB",-10.5,0.829,66,849,1190
"PPIL6",-10.5,1.9,70,915,1270
"LOC147727",-10.5,0.77,76,677,1050
"PNPLA7",-10.5,2.11,71,1130,1480
"OGFOD1",-10.5,0.871,70,762,1120
"DOC2B",-10.5,0.539,64,744,1080
"SILV",-10.5,1.58,61,799,1130
"MRPL11",-10.5,0.764,70,765,1120
"C2orf77",-10.5,1.78,69,814,1170
"LIN7C",-10.5,0.843,69,777,1130
"CACNA2D4",-10.5,1.34,76,716,1090
"FAM188A",-10.5,1.22,70,805,1160
"MND1",-10.5,0.604,72,1460,1800
"C18orf8",-10.5,0.826,73,954,1310
"MGP",-10.5,1.71,66,1030,1370
"KDM4D",-10.5,0.772,71,821,1180
"ADAM28",-10.5,1.73,76,819,1190
"SORBS1",-10.5,1.61,73,877,1230
"TMEM184B",-10.5,0.819,71,811,1170
"ANKRD44",-10.5,1.46,62,783,1120
"FAM35A",-10.5,1.18,63,914,1250
"PIH1D2",-10.5,1.61,67,854,1200
"ANO3",-10.4,3.4,66,717,1060
"PHF1",-10.4,1.18,73,870,1230
"CCDC19",-10.4,2.38,67,848,1200
"NAGPA",-10.4,1.19,75,737,1110
"TOMM34",-10.4,0.806,64,781,1120
"TM4SF19",-10.4,0.438,75,898,1260
"MCL1",-10.4,1.24,66,780,1130
"ZNF557",-10.4,0.828,75,678,1050
"BIRC7",-10.4,2.39,70,966,1320
"WDR13",-10.4,1.18,74,707,1080
"PDPR",-10.4,0.784,70,666,1030
"CEACAM4",-10.4,1.95,69,712,1070
"HNRNPA2B1",-10.4,0.88,72,683,1050
"YOD1",-10.4,1.25,64,672,1020
"FNTB",-10.4,0.862,64,691,1040
"CDK4",-10.4,0.67,59,1270,1580
"TCOF1",-10.4,0.814,74,839,1210
"WHAMM",-10.4,0.858,77,749,1130
"ST3GAL3",-10.4,0.753,70,764,1120
"TMEM149",-10.4,1.33,65,790,1130
"NUP35",-10.4,0.815,68,805,1160
"C1orf174",-10.4,0.834,63,802,1140
"SLC35B4",-10.4,0.837,72,830,1190
"LOC400759",-10.4,0.631,67,875,1220
"RERE",-10.4,1.22,73,795,1160
"XYLT2",-10.4,0.812,73,711,1080
"TSPAN7",-10.4,0.576,79,715,1090
"MLL3",-10.4,1.2,76,684,1060
"PCMT1",-10.4,0.852,76,715,1090
"RALB",-10.4,0.756,75,799,1170
"SLC25A18",-10.3,2.23,61,717,1050
"MRPS9",-10.3,0.854,76,778,1150
"SCOC",-10.3,1.27,71,770,1130
"FKBP14",-10.3,0.751,68,808,1160
"DMWD",-10.3,0.813,67,971,1320
"ADK",-10.3,1.32,67,724,1080
"AK2",-10.3,1.24,72,801,1160
"PHF11",-10.3,1.2,79,786,1170
"ZNF540",-10.3,1.74,68,1210,1550
"NEIL1",-10.3,1.61,71,1440,1790
"PIP4K2A",-10.3,1.26,74,816,1180
"BCL2L1",-10.3,1.25,68,903,1250
"KLHL36",-10.3,0.848,67,656,1010
"KLHL11",-10.3,0.767,70,767,1130
"PRCD",-10.3,0.651,65,661,1010
"USF2",-10.3,0.803,71,1220,1580
"LOC220930",-10.3,0.699,80,807,1190
"NCF4",-10.3,1.41,78,772,1150
"LOC285359",-10.3,1.26,72,669,1040
"FCGR2A",-10.3,1.43,66,796,1140
"UVRAG",-10.3,0.834,58,711,1040
"NAGK",-10.3,0.842,75,749,1120
"PRSS27",-10.3,0.466,79,779,1160
"CRYL1",-10.3,1.35,67,756,1110
"ZBED3",-10.3,1.37,72,762,1130
"FSD1",-10.3,0.312,63,1230,1550
"MFHAS1",-10.3,0.763,68,700,1060
"ZNF238",-10.3,1.88,56,2420,2700
"ERCC5",-10.3,1.21,72,841,1210
"DVL1",-10.3,1.28,72,741,1110
"CLSPN",-10.3,0.64,64,923,1260
"FUT8",-10.2,1.38,69,776,1130
"KLRB1",-10.2,1.58,69,839,1200
"SCN9A",-10.2,0.53,69,582,953
"DOCK10",-10.2,1.42,79,787,1170
"POLR2B",-10.2,0.818,62,731,1080
"MAP1S",-10.2,1.21,72,756,1130
"C15orf34",-10.2,1.43,70,942,1300
"NUFIP1",-10.2,0.835,76,807,1180
"HAUS1",-10.2,0.699,77,929,1300
"CD99L2",-10.2,1.55,68,1690,2030
"HIVEP1",-10.2,0.804,60,649,987
"LAS1L",-10.2,0.858,73,729,1100
"RGS14",-10.2,1.32,78,800,1180
"SMEK2",-10.2,0.866,67,743,1100
"ADCY2",-10.2,0.253,72,992,1360
"PDXK",-10.2,1.25,73,797,1170
"NHEDC2",-10.2,0.652,69,1260,1600
"PTGR1",-10.2,0.487,71,801,1170
"SIX2",-10.2,0.406,65,1130,1480
"EIF6",-10.2,0.82,78,698,1080
"ZNF16",-10.2,0.837,75,765,1140
"KMO",-10.2,1.65,77,888,1260
"MYO15B",-10.2,1.62,73,765,1140
"C14orf37",-10.2,0.636,64,935,1270
"KLHL31",-10.2,0.619,75,802,1170
"ZNF589",-10.2,0.747,63,731,1080
"NUP160",-10.2,0.843,74,779,1150
"TM2D3",-10.2,0.858,76,725,1100
"PIM1",-10.2,0.753,70,665,1030
"B3GALNT1",-10.2,0.692,63,731,1070
"RPS17",-10.2,0.727,69,1130,1480
"RMND5B",-10.2,1.17,80,750,1140
"MEST",-10.2,0.676,67,746,1100
"DIO2",-10.2,0.502,71,785,1150
"MAP2K1",-10.2,0.858,61,795,1130
"RXRA",-10.2,0.794,68,660,1020
"PHF21A",-10.2,0.855,72,638,1010
"CSTF3",-10.2,0.85,71,762,1130
"AKAP1",-10.2,1.21,66,676,1030
"PRKCH",-10.2,0.813,77,678,1060
"LRRK1",-10.2,0.789,78,761,1140
"LPL",-10.1,2.2,61,824,1160
"SOCS1",-10.1,0.656,65,754,1100
"FAM133B",-10.1,0.821,67,783,1140
"HEXA",-10.1,1.2,64,712,1060
"PSPC1",-10.1,0.86,73,718,1090
"BAG3",-10.1,0.807,67,725,1080
"CCDC90B",-10.1,0.794,75,842,1210
"PPP2R3C",-10.1,1.27,69,732,1090
"TMED9",-10.1,1.2,75,805,1180
"RHPN2",-10.1,1.74,72,1150,1510
"SLCO4C1",-10.1,1.8,74,666,1040
"EPHB1",-10.1,0.398,69,801,1160
"NF2",-10.1,0.815,72,914,1280
"RIPK2",-10.1,1.29,65,744,1090
"FAM176B",-10.1,1.4,69,870,1230
"COMP",-10.1,2.17,71,716,1090
"USE1",-10.1,0.829,74,746,1120
"BMS1P5",-10.1,1.33,74,752,1130
"DAPK2",-10.1,1.67,70,780,1140
"ZNF197",-10.1,1.14,77,739,1120
"ATRIP",-10.1,0.881,70,721,1080
"DHX32",-10.1,1.2,69,730,1090
"TRAPPC1",-10.1,1.18,73,714,1090
"TMEM217",-10.1,1.52,64,932,1280
"KDM4B",-10.1,0.841,75,690,1070
"PTPRA",-10.1,0.872,75,684,1060
"C1orf128",-10.1,0.87,69,734,1100
"CEP72",-10.1,0.715,70,870,1230
"SPIN1",-10.1,0.876,66,713,1070
"EGLN3",-10.1,0.566,81,732,1120
"DHX29",-10.1,1.21,72,947,1310
"QTRT1",-10.1,0.806,71,675,1050
"FAM125B",-10.1,1.44,74,787,1160
"HMGA1",-10,0.697,72,907,1270
"VAV1",-10,1.38,62,940,1280
"ZNF224",-10,1.23,64,726,1070
"NUP133",-10,0.87,68,718,1080
"FAM60A",-10,0.711,68,986,1340
"ADSS",-10,0.849,76,687,1070
"TMPO",-10,0.78,69,808,1170
"TSPYL3",-10,0.649,70,713,1080
"RNASEK",-10,1.19,70,734,1100
"BCL9L",-10,1.26,68,759,1120
"PTPN23",-10,1.14,72,739,1110
"KLHDC8B",-10,1.29,75,729,1110
"C19orf76",-10,0.618,79,680,1070
"MYD88",-10,1.19,69,769,1130
"MXI1",-10,0.829,72,707,1080
"C5orf49",-9.99,2.48,65,866,1210
"EPM2A",-9.99,0.768,66,773,1130
"MAGOHB",-9.99,0.783,65,792,1140
"CLPP",-9.99,0.849,70,730,1100
"TMEM203",-9.99,0.861,68,747,1110
"NEK11",-9.98,1.41,76,687,1070
"POP7",-9.98,0.774,64,844,1190
"PLA2G1B",-9.98,2.94,68,897,1250
"KLHL35",-9.98,2.25,67,1240,1580
"LOC100130093",-9.97,1.27,75,726,1110
"PLEKHM2",-9.97,0.865,71,701,1070
"LEPREL2",-9.96,0.693,69,694,1060
"EIF4E2",-9.96,1.14,79,761,1150
"TRAF5",-9.96,1.34,63,775,1120
"PAPSS2",-9.96,1.59,77,911,1290
"FLOT1",-9.96,1.21,69,779,1140
"BVES",-9.95,0.545,76,742,1120
"HTT",-9.95,1.21,69,717,1080
"PCDHA7",-9.95,2.1,68,934,1290
"ULK1",-9.94,0.803,75,770,1150
"TNFRSF12A",-9.93,1.47,71,750,1120
"PCSK9",-9.92,0.479,73,1020,1390
"FOXA3",-9.91,4.15,63,1930,2250
"PNKP",-9.91,0.829,66,724,1080
"PSMA2",-9.91,0.816,76,766,1150
"PPIP5K1",-9.91,0.82,74,721,1100
"CNOT4",-9.9,0.887,72,719,1090
"QRSL1",-9.89,0.782,71,1040,1400
"RRN3P3",-9.89,1.21,69,732,1100
"C21orf122",-9.89,1.31,72,767,1140
"SECTM1",-9.88,1.44,70,747,1120
"ODF3B",-9.88,1.39,62,747,1090
"C20orf3",-9.88,0.802,65,735,1090
"RCOR2",-9.87,0.491,70,855,1220
"TOP3A",-9.87,0.81,75,847,1230
"CEP192",-9.87,0.794,66,891,1240
"FAM118A",-9.87,0.742,79,905,1290
"RAVER1",-9.87,0.832,75,681,1070
"IFNGR2",-9.86,1.22,74,785,1160
"ADCK2",-9.86,0.825,75,731,1120
"CMIP",-9.86,0.752,77,1330,1690
"ZNF320",-9.86,1.33,68,848,1210
"TNFSF12-TNFSF13",-9.85,1.57,75,876,1250
"FAM128A",-9.85,0.757,70,789,1160
"ZP3",-9.85,0.687,80,807,1190
"RNF170",-9.85,1.29,62,1140,1480
"FDFT1",-9.85,0.777,73,820,1200
"RGS20",-9.84,0.475,69,899,1260
"HARS2",-9.84,1.15,79,826,1220
"PROCA1",-9.84,1.52,81,892,1280
"LONRF2",-9.84,1.82,66,1000,1350
"SLFN11",-9.83,1.37,71,775,1150
"C10orf55",-9.83,0.608,78,747,1140
"GGTA1",-9.82,1.5,73,924,1290
"GLYCTK",-9.82,1.49,64,1020,1360
"ALG5",-9.82,1.32,80,1020,1400
"RGS10",-9.82,1.33,68,767,1130
"CGGBP1",-9.81,1.18,79,880,1260
"C1orf55",-9.8,0.866,78,737,1130
"CPLX1",-9.8,1.82,78,962,1340
"LOC441204",-9.8,1.66,80,980,1360
"PUF60",-9.8,0.828,71,760,1130
"CDKN1A",-9.8,0.728,69,773,1140
"TNRC18",-9.8,1.24,66,728,1090
"PKDREJ",-9.8,0.673,75,653,1040
"RIBC1",-9.79,1.74,72,817,1190
"GSTO1",-9.79,0.712,68,906,1260
"C1RL",-9.79,1.21,70,759,1130
"SGPP2",-9.79,1.41,77,714,1100
"HCG26",-9.78,1.46,67,741,1100
"FILIP1",-9.77,1.88,73,1000,1370
"ZNF259",-9.77,0.841,71,795,1170
"IGFBP3",-9.77,0.56,67,686,1050
"EMG1",-9.77,0.739,75,837,1220
"ABHD12",-9.76,1.21,74,754,1130
"ASB2",-9.76,0.452,64,1910,2250
"AKAP6",-9.76,1.69,62,1190,1530
"ZMIZ2",-9.76,1.26,76,781,1170
"ITGB6",-9.75,1.54,77,794,1180
"MPP2",-9.75,0.589,74,887,1260
"S100A9",-9.74,0.294,75,1130,1500
"SLC13A3",-9.74,1.92,74,745,1130
"ACVR2A",-9.74,0.81,67,672,1040
"THOC6",-9.74,0.835,69,747,1120
"SLC30A6",-9.74,0.837,71,754,1130
"C7orf25",-9.74,0.839,68,711,1080
"PRKAA2",-9.73,1.5,82,588,994
"SSB",-9.73,0.846,77,824,1210
"DDX19A",-9.73,0.881,76,779,1170
"GAB2",-9.73,1.58,72,1130,1490
"EAPP",-9.73,1.24,73,739,1120
"ABCA3",-9.72,1.98,72,903,1270
"HGSNAT",-9.72,1.36,75,1110,1480
"GCAT",-9.71,0.716,72,727,1110
"PIGV",-9.71,1.18,75,719,1110
"BTN3A3",-9.7,1.31,76,774,1160
"SPATS2",-9.7,0.816,80,771,1170
"KHDRBS1",-9.7,0.902,69,709,1080
"THAP10",-9.7,0.749,72,1170,1540
"SEPT6",-9.7,1.36,60,1020,1360
"KLF16",-9.7,0.816,86,790,1200
"TMEM63B",-9.69,1.22,75,681,1070
"TBC1D14",-9.69,0.845,75,684,1070
"BOD1",-9.69,0.796,79,825,1210
"NAA25",-9.69,0.835,75,803,1190
"HSP90B3P",-9.68,1.74,70,837,1210
"SNAPC5",-9.68,0.846,68,717,1080
"NKTR",-9.68,1.29,76,747,1140
"C4orf7",-9.68,0.0489,75,420,816
"GPX7",-9.68,0.692,75,737,1120
"ZC4H2",-9.68,1.51,71,833,1200
"C18orf10",-9.67,0.746,71,1240,1600
"FGFR1OP",-9.67,0.82,81,715,1120
"CDA",-9.66,2.47,60,827,1170
"ICAM2",-9.66,1.49,81,868,1260
"ZNF771",-9.66,0.724,80,945,1340
"CROCCL2",-9.66,1.36,70,699,1070
"EXD3",-9.66,1.28,78,750,1140
"TSC22D3",-9.65,1.53,63,809,1160
"VDAC3",-9.65,0.72,73,877,1250
"DNAJA4",-9.64,0.736,68,871,1230
"CAST",-9.63,1.2,82,804,1200
"C9orf25",-9.63,0.804,76,672,1060
"HPDL",-9.63,0.469,85,1050,1450
"PFKL",-9.63,0.849,71,711,1090
"C20orf96",-9.63,1.36,77,821,1210
"NTN4",-9.63,1.53,74,826,1210
"TMEM45A",-9.62,0.479,68,881,1240
"ANAPC4",-9.62,1.15,73,716,1100
"FBXO33",-9.62,1.26,80,1040,1430
"C7orf59",-9.61,0.733,70,903,1270
"NFASC",-9.61,0.606,67,912,1270
"MGEA5",-9.61,1.16,75,759,1150
"CCDC66",-9.6,1.2,73,731,1110
"TMEM200C",-9.6,0.481,83,702,1110
"P2RY14",-9.6,1.56,77,849,1240
"PRKRIR",-9.59,0.801,72,762,1140
"C11orf48",-9.59,1.23,84,714,1120
"ACSS2",-9.59,1.29,73,708,1090
"PTPRH",-9.59,1.93,68,680,1050
"PPP1R14A",-9.59,1.64,76,836,1220
"KLHL5",-9.59,0.764,70,788,1160
"C10orf12",-9.59,0.801,66,695,1060
"MACROD2",-9.59,2.2,74,700,1090
"TMX2",-9.58,0.867,70,761,1130
"NKD2",-9.58,0.687,77,797,1190
"BRP44L",-9.58,1.36,77,1050,1430
"PLCL2",-9.58,1.37,72,732,1110
"ZNF319",-9.58,1.22,80,807,1210
"MORN4",-9.58,1.34,71,1160,1530
"SLC7A11",-9.58,0.513,74,734,1120
"ANKRD5",-9.57,0.784,70,686,1060
"ZNF200",-9.56,0.855,62,706,1060
"LIG4",-9.56,1.24,82,813,1210
"B3GALTL",-9.55,0.815,81,787,1190
"ZNF697",-9.55,0.754,70,821,1190
"GAMT",-9.55,0.7,71,709,1090
"CD40LG",-9.55,1.76,67,953,1310
"ZNF449",-9.55,1.2,77,776,1170
"B3GNT2",-9.55,0.783,78,779,1180
"CCDC69",-9.54,1.49,82,808,1210
"MGC87042",-9.54,0.505,75,995,1370
"INPP5D",-9.54,1.48,73,1080,1450
"AKR1C3",-9.54,0.437,81,870,1270
"SRD5A1",-9.53,0.672,78,818,1210
"EFHC2",-9.53,1.85,76,700,1100
"ASNS",-9.53,0.577,65,1470,1810
"PCDHGA2",-9.53,1.82,67,776,1140
"BUB3",-9.53,0.851,70,705,1080
"PGCP",-9.53,1.3,77,736,1130
"PION",-9.52,1.33,74,780,1160
"AIF1L",-9.52,1.54,71,812,1190
"AKAP13",-9.51,1.35,78,806,1200
"DCUN1D3",-9.5,1.25,74,751,1130
"FCRL6",-9.5,1.77,71,763,1140
"DLEU2",-9.5,0.71,77,808,1200
"SPDYE8P",-9.5,0.746,73,892,1270
"PKN1",-9.49,1.24,79,782,1180
"EGFR",-9.49,0.468,77,1080,1450
"GLT8D1",-9.49,1.12,78,763,1160
"DDB1",-9.49,0.885,73,729,1110
"GAPT",-9.48,1.7,69,1090,1450
"FAM195A",-9.48,1.39,69,817,1190
"HDHD1A",-9.48,1.25,73,828,1210
"COLEC12",-9.47,1.62,77,782,1170
"REXO4",-9.46,0.863,66,754,1120
"SEC22B",-9.46,1.34,63,1990,2320
"PRR5L",-9.45,0.72,71,725,1110
"NONO",-9.45,0.868,76,745,1140
"SEC14L2",-9.45,0.582,76,786,1180
"CAPS2",-9.45,1.58,82,832,1240
"PKNOX1",-9.45,0.9,61,747,1090
"CAMK2N1",-9.44,1.66,76,746,1140
"DDIT4",-9.44,0.618,77,822,1210
"ZNF296",-9.43,0.725,78,733,1130
"MSH2",-9.43,0.773,80,884,1280
"TST",-9.43,1.38,67,716,1080
"SLC7A7",-9.43,1.44,76,805,1190
"NCOA6",-9.43,0.844,82,775,1180
"HYAL1",-9.43,1.76,76,741,1130
"NANS",-9.42,1.22,75,762,1150
"KIF20B",-9.41,0.767,76,803,1190
"ICAM4",-9.41,2.28,75,1040,1420
"ATP2A1",-9.41,0.593,79,843,1230
"CCDC136",-9.4,0.449,73,1450,1820
"HDAC7",-9.4,1.2,76,745,1140
"ZNF518B",-9.39,0.777,70,705,1080
"NKX3-1",-9.39,0.615,69,758,1130
"TRPA1",-9.39,0.0916,74,1660,2020
"BRD1",-9.39,0.852,79,688,1090
"RND2",-9.38,0.561,73,752,1140
"EDAR",-9.38,0.412,81,822,1220
"FADD",-9.37,0.667,86,400,830
"C10orf128",-9.36,1.57,77,766,1160
"FAM192A",-9.36,0.878,77,741,1140
"ZNF815",-9.35,1.28,82,768,1180
"MON1A",-9.35,1.15,79,700,1110
"SEMA4A",-9.35,0.759,75,1130,1510
"TTBK1",-9.34,0.439,80,718,1130
"UCHL1",-9.34,0.484,76,804,1190
"GRAMD1B",-9.34,2.7,79,775,1180
"UIMC1",-9.33,0.877,68,687,1060
"FUT2",-9.33,1.57,82,756,1160
"RNF5",-9.33,1.21,77,799,1190
"KCNE4",-9.33,2.56,74,818,1210
"CCR5",-9.33,1.42,76,734,1130
"OLFML3",-9.32,1.66,81,827,1230
"TNFSF14",-9.32,1.74,78,891,1290
"CAMKK2",-9.32,0.89,64,739,1100
"CENPT",-9.31,0.795,86,793,1210
"LRRC42",-9.31,0.826,76,768,1160
"SLC39A11",-9.3,1.3,74,873,1260
"SLC29A3",-9.3,1.28,73,800,1190
"PTGES3",-9.3,0.826,78,986,1380
"CBLN3",-9.29,1.35,73,916,1300
"SGK196",-9.29,0.659,78,823,1220
"ABCD4",-9.29,1.16,73,757,1150
"BPHL",-9.29,1.28,77,688,1090
"SBF2",-9.29,0.801,74,927,1310
"RAD52",-9.29,0.796,68,720,1090
"ARL1",-9.28,1.17,75,790,1180
"ISCA1P1",-9.28,0.816,81,723,1130
"NBEAL2",-9.28,1.29,80,734,1140
"RDH13",-9.27,0.786,71,724,1110
"SNX20",-9.27,1.43,76,810,1200
"MRPL14",-9.27,1.27,74,696,1080
"GPR108",-9.27,1.15,81,719,1130
"PCSK4",-9.26,1.57,78,852,1250
"LRFN4",-9.26,0.721,78,808,1210
"ROR1",-9.26,1.75,77,865,1260
"WBP5",-9.26,0.816,88,768,1190
"PCDHB6",-9.25,0.477,79,732,1140
"EPS8",-9.25,1.43,78,926,1320
"DMKN",-9.25,0.542,77,758,1160
"ZNF154",-9.24,1.5,84,815,1230
"MVK",-9.24,0.83,66,713,1080
"NPHP3",-9.24,0.811,76,708,1110
"TTLL5",-9.24,0.855,86,809,1230
"NACC1",-9.24,0.831,79,730,1140
"DIABLO",-9.24,0.834,83,802,1210
"DUSP22",-9.24,1.21,84,834,1250
"LOC645431",-9.24,1.48,71,744,1130
"TM6SF1",-9.22,1.37,83,744,1160
"ANPEP",-9.22,2.31,79,627,1030
"FGL2",-9.22,1.52,73,811,1200
"NAT9",-9.22,1.22,70,747,1130
"ZNF469",-9.22,0.613,78,827,1230
"CCDC96",-9.21,1.61,81,938,1340
"NOLC1",-9.21,0.843,76,759,1160
"SLCO2B1",-9.21,1.5,79,763,1160
"TNC",-9.21,0.556,77,806,1200
"IRAK1BP1",-9.21,0.762,78,776,1180
"PLAG1",-9.2,0.663,76,715,1110
"C9orf116",-9.2,1.7,77,922,1310
"C2orf27A",-9.2,0.742,89,764,1190
"PODN",-9.2,1.46,74,821,1210
"TTC21B",-9.19,0.848,70,784,1160
"TBCB",-9.19,0.787,74,929,1310
"DPP9",-9.19,1.19,73,707,1100
